rank,category,name,action,edge_pct,capital,horizon,liquidity,risks,url
71,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] KAITO_USDT funding -0.065%/4h,"Long KAITO_USDT perp on gate, hedge with spot short/margin — shorts pay longs 0.065% every 4h (0.39%/day)",0.392,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $702,878,342",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
72,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] EPIC_USDT funding -0.064%/4h,"Long EPIC_USDT perp on gate, hedge with spot short/margin — shorts pay longs 0.064% every 4h (0.38%/day)",0.382,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $371,720,262",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
73,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] PTB_USDT funding +0.062%/4h,"Buy spot, short PTB_USDT perp on gate — collect +0.062% every 4h (+0.37%/day)",0.373,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $185,001,852",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
74,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] DOS_USDT funding -0.062%/4h,"Long DOS_USDT perp on gate, hedge with spot short/margin — shorts pay longs 0.062% every 4h (0.37%/day)",0.373,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $6,659,966",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
75,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] CYS_USDT funding -0.062%/4h,"Long CYS_USDT perp on gate, hedge with spot short/margin — shorts pay longs 0.062% every 4h (0.37%/day)",0.37,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $625,995,461",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
76,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] GUA_USDT funding +0.061%/4h,"Buy spot, short GUA_USDT perp on gate — collect +0.061% every 4h (+0.37%/day)",0.365,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $38,911,283",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
77,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] HOLO_USDT funding -0.059%/4h,"Long HOLO_USDT perp on gate, hedge with spot short/margin — shorts pay longs 0.059% every 4h (0.35%/day)",0.353,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $101,109,183",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
78,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] BTW_USDT funding +0.058%/4h,"Buy spot, short BTW_USDT perp on gate — collect +0.058% every 4h (+0.35%/day)",0.346,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $2,326,697,154",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
79,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] AIN_USDT funding +0.057%/4h,"Buy spot, short AIN_USDT perp on gate — collect +0.057% every 4h (+0.34%/day)",0.343,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $1,267,158,881",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
80,D. Cross-exchange spot spread,BIGTIME/USDT: gate -> htx,"Buy on gate @ 0.005344, transfer, sell on htx @ 0.00629 (ticker net +17.30% after taker fees; order-book verified +15.11% net for $836 fill)",15.114,limited by book depth,transfer time (minutes on fast chains),"24h vol: buy side $159,215, sell side $820,218; single snapshot",price can move during transfer; withdrawal fees not included; verify same token/chain on both venues,
81,D. Cross-exchange spot spread,UPC/USDT: mexc -> bitget,"Buy on mexc @ 0.1611, transfer, sell on bitget @ 0.1849 (ticker net +14.62% after taker fees; order-book verified +11.04% net for $721 fill)",11.039,limited by book depth,transfer time (minutes on fast chains),"24h vol: buy side $4,003,971, sell side $2,330,878; seen in both snapshots ~30min apart",TRANSFER BLOCKED: bitget: deposit=OFF withdraw=on — spread persists precisely because it cannot be closed; monitor for reopen,
82,D. Cross-exchange spot spread,NIGHT/USDT: htx -> okx,"Buy on htx @ 0.01633, transfer, sell on okx @ 0.017528 (ticker net +7.04% after taker fees; order-book verified +1.58% net for $1914 fill)",1.585,limited by book depth,transfer time (minutes on fast chains),"24h vol: buy side $229,903, sell side $206,909; seen in both snapshots ~30min apart",TRANSFER BLOCKED: htx: deposit=on withdraw=OFF — spread persists precisely because it cannot be closed; monitor for reopen,
83,D. Cross-exchange spot spread,AI/USDT: htx -> okx,"Buy on htx @ 0.0193, transfer, sell on okx @ 0.02069 (ticker net +6.90% after taker fees; order-book verified -28.76% net for $2000 fill)",-28.763,limited by book depth,transfer time (minutes on fast chains),"24h vol: buy side $327,259, sell side $559,058; seen in both snapshots ~30min apart",price can move during transfer; withdrawal fees not included; verify same token/chain on both venues,
84,D. Cross-exchange spot spread,ZEC/USDT: htx -> mexc,"Buy on htx @ 467.36, transfer, sell on mexc @ 486.75 (ticker net +3.90% after taker fees; order-book verified +3.93% net for $2000 fill)",3.93,limited by book depth,transfer time (minutes on fast chains),"24h vol: buy side $301,658, sell side $784,426; seen in both snapshots ~30min apart",TRANSFER BLOCKED: htx: deposit=on withdraw=OFF — spread persists precisely because it cannot be closed; monitor for reopen,
85,D. Cross-exchange spot spread,ONE/USDT: okx -> htx,"Buy on okx @ 0.000748, transfer, sell on htx @ 0.000779 (ticker net +3.84% after taker fees; order-book verified -22.25% net for $934 fill)",-22.248,limited by book depth,transfer time (minutes on fast chains),"24h vol: buy side $540,089, sell side $190,648; seen in both snapshots ~30min apart",TRANSFER BLOCKED: htx: deposit=OFF withdraw=OFF — spread persists precisely because it cannot be closed; monitor for reopen,
86,D. Cross-exchange spot spread,BERA/USDT: htx -> okx,"Buy on htx @ 0.142, transfer, sell on okx @ 0.1469 (ticker net +3.15% after taker fees; order-book verified -2.11% net for $2000 fill)",-2.112,limited by book depth,transfer time (minutes on fast chains),"24h vol: buy side $310,240, sell side $257,558; seen in both snapshots ~30min apart",TRANSFER BLOCKED: htx: deposit=OFF withdraw=OFF — spread persists precisely because it cannot be closed; monitor for reopen,
87,D. Cross-exchange spot spread,ZEREBRO/USDT: htx -> gate,"Buy on htx @ 0.0408, transfer, sell on gate @ 0.042154 (ticker net +2.92% after taker fees; order-book verified -2.02% net for $339 fill)",-2.022,limited by book depth,transfer time (minutes on fast chains),"24h vol: buy side $231,845, sell side $200,879; seen in both snapshots ~30min apart",price can move during transfer; withdrawal fees not included; verify same token/chain on both venues,
88,D. Cross-exchange spot spread,COTI/USDT: kucoin -> htx,"Buy on kucoin @ 0.01025, transfer, sell on htx @ 0.0105 (ticker net +2.14% after taker fees; order-book verified -56.55% net for $859 fill)",-56.55,limited by book depth,transfer time (minutes on fast chains),"24h vol: buy side $251,362, sell side $249,760; seen in both snapshots ~30min apart",price can move during transfer; withdrawal fees not included; verify same token/chain on both venues,
89,D. Cross-exchange spot spread,ALGO/USDT: okx -> htx,"Buy on okx @ 0.0788, transfer, sell on htx @ 0.08 (ticker net +1.22% after taker fees; order-book verified -5.68% net for $2000 fill)",-5.678,limited by book depth,transfer time (minutes on fast chains),"24h vol: buy side $216,344, sell side $306,821; seen in both snapshots ~30min apart",price can move during transfer; withdrawal fees not included; verify same token/chain on both venues,
90,D. Cross-exchange spot spread,POWER/USDT: mexc -> bitget,"Buy on mexc @ 0.0842, transfer, sell on bitget @ 0.084639 (ticker net +0.37% after taker fees; order-book verified -1.01% net for $1332 fill)",-1.007,limited by book depth,transfer time (minutes on fast chains),"24h vol: buy side $244,248, sell side $365,007; seen in both snapshots ~30min apart",TRANSFER BLOCKED: bitget: deposit=OFF withdraw=on — spread persists precisely because it cannot be closed; monitor for reopen,
91,D. Cross-exchange spot spread,LAT/USDT: okx -> bitget,"Buy on okx @ 0.0005281, transfer, sell on bitget @ 0.0005306 (ticker net +0.27% after taker fees; order-book verified -1.07% net for $305 fill)",-1.068,limited by book depth,transfer time (minutes on fast chains),"24h vol: buy side $362,928, sell side $322,892; seen in both snapshots ~30min apart",price can move during transfer; withdrawal fees not included; verify same token/chain on both venues,
92,D. Cross-exchange spot spread,ACN/USDT: bitget -> htx,"Buy on bitget @ 0.004879, transfer, sell on htx @ 0.004899 (ticker net +0.11% after taker fees; order-book verified -1.78% net for $1183 fill)",-1.777,limited by book depth,transfer time (minutes on fast chains),"24h vol: buy side $328,247, sell side $157,221; seen in both snapshots ~30min apart",price can move during transfer; withdrawal fees not included; verify same token/chain on both venues,
93,D. Cross-exchange spot spread,NES/USDT: okx -> kucoin,"Buy on okx @ 0.2076, transfer, sell on kucoin @ 0.20818 (ticker net +0.08% after taker fees; order-book verified -0.02% net for $2000 fill)",-0.024,limited by book depth,transfer time (minutes on fast chains),"24h vol: buy side $199,579, sell side $325,162; seen in both snapshots ~30min apart",price can move during transfer; withdrawal fees not included; verify same token/chain on both venues,
94,D. Cross-exchange spot spread,SKYAI/USDT: bitget -> mexc,"Buy on bitget @ 0.06807, transfer, sell on mexc @ 0.06821 (ticker net +0.06% after taker fees; order-book verified -0.22% net for $2000 fill)",-0.224,limited by book depth,transfer time (minutes on fast chains),"24h vol: buy side $2,093,715, sell side $1,693,073; seen in both snapshots ~30min apart",price can move during transfer; withdrawal fees not included; verify same token/chain on both venues,
95,D. Cross-exchange spot spread,BTW/USDT: htx -> bitget,"Buy on htx @ 0.32081, transfer, sell on bitget @ 0.321892 (ticker net +0.04% after taker fees; order-book verified -0.78% net for $2000 fill)",-0.776,limited by book depth,transfer time (minutes on fast chains),"24h vol: buy side $1,559,940, sell side $4,979,679; single snapshot",price can move during transfer; withdrawal fees not included; verify same token/chain on both venues,
96,D. Cross-exchange spot spread,KII/USDT: bitget -> kucoin,"Buy on bitget @ 0.067002, transfer, sell on kucoin @ 0.06715 (ticker net +0.02% after taker fees; order-book verified -1.05% net for $2000 fill)",-1.047,limited by book depth,transfer time (minutes on fast chains),"24h vol: buy side $12,119,000, sell side $16,632,744; single snapshot",TRANSFER BLOCKED: bitget: deposit=on withdraw=OFF — spread persists precisely because it cannot be closed; monitor for reopen,
97,D. Cross-exchange spot spread,HEMI/USDT: gate -> mexc,"Buy on gate @ 0.00666, transfer, sell on mexc @ 0.006678 (ticker net +0.02% after taker fees; order-book verified -0.62% net for $2000 fill)",-0.616,limited by book depth,transfer time (minutes on fast chains),"24h vol: buy side $1,621,411, sell side $804,388; single snapshot",price can move during transfer; withdrawal fees not included; verify same token/chain on both venues,
98,D. Cross-exchange spot spread,ANSEM/USDT: htx -> kucoin,"Buy on htx @ 0.23734, transfer, sell on kucoin @ 0.2381 (ticker net +0.02% after taker fees; order-book verified -5.47% net for $617 fill)",-5.468,limited by book depth,transfer time (minutes on fast chains),"24h vol: buy side $166,465, sell side $1,246,404; seen in both snapshots ~30min apart",price can move during transfer; withdrawal fees not included; verify same token/chain on both venues,
99,D. Cross-exchange spot spread,IOTA/USDT: okx -> htx,"Buy on okx @ 0.032, transfer, sell on htx @ 0.0321 (ticker net +0.01% after taker fees; order-book verified -17.07% net for $968 fill)",-17.065,limited by book depth,transfer time (minutes on fast chains),"24h vol: buy side $164,669, sell side $192,561; seen in both snapshots ~30min apart",price can move during transfer; withdrawal fees not included; verify same token/chain on both venues,
100,E. Stablecoin / peg spread,USDT/USD: kraken -> bitfinex,"Buy USDT on kraken @ 0.99888, transfer on-chain, sell on bitfinex @ 1.00020",0.132,scales well - deep books,minutes (chain transfer),4 venues quoting; both sides > $100k/24h,gross spread shown - taker fees + withdrawal fee eat most of it below ~0.15%; sized for depeg moments,
